batch	kind	accession	file_level	n_sample_rows	n_papers	dois	file_format	page_url	example_download_url	dest_dir	how	skip_reason
E	GSE	GSE131155	Level 2	8	1	10.1038/s42003-025-08502-0	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131155		data/GSE/GSE131155	python3 download_geo.py	
E	GSE	GSE131498	Level 2	3	1	10.1038/s42003-025-08502-0	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131498		data/GSE/GSE131498	python3 download_geo.py	
E	GSE	GSE131907	Level 2	16	2	10.1002/1878-0261.13373; 10.1126/sciadv.ady8546	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131907		data/GSE/GSE131907	python3 download_geo.py	
E	GSE	GSE132188	Level 2	4	1	10.1038/s41586-024-08453-2	h5ad matrix (GEO); h5 matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132188		data/GSE/GSE132188	python3 download_geo.py	
E	GSE	GSE132465	Level 2	8	1	10.1038/s41467-025-60575-x	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132465		data/GSE/GSE132465	python3 download_geo.py	
E	GSE	GSE132771	Level 2	8	1	10.1126/sciadv.adz1519	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132771		data/GSE/GSE132771	python3 download_geo.py	
E	GSE	GSE134355	Level 2	8	1	10.1097/HC9.0000000000000662	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134355		data/GSE/GSE134355	python3 download_geo.py	
E	GSE	GSE13507	Level 2	8	1	10.1093/jmcb/mjaf032	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13507		data/GSE/GSE13507	python3 download_geo.py	
E	GSE	GSE135222	Level 2	8	1	10.1038/s41421-025-00861-6	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135222		data/GSE/GSE135222	python3 download_geo.py	
E	GSE	GSE135893	Level 2	16	2	10.1016/j.heliyon.2023.e22461; 10.1126/sciadv.adz1519	mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135893		data/GSE/GSE135893	python3 download_geo.py	
E	GSE	GSE136103	Level 2	1	1	10.1097/HC9.0000000000000662	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136103		data/GSE/GSE136103	python3 download_geo.py	
E	GSE	GSE136679	Level 2	8	1	10.1136/egastro-2025-100202	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136679		data/GSE/GSE136679	python3 download_geo.py	
E	GSE	GSE137105	Level 2	8	1	10.1186/s13059-024-03469-3	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137105		data/GSE/GSE137105	python3 download_geo.py	
E	GSE	GSE137540	Level 2	8	1	10.1016/j.xcrm.2025.102140	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137540		data/GSE/GSE137540	python3 download_geo.py	
E	GSE	GSE137986	Level 2	32	4	10.1016/j.cell.2022.10.021; 10.1038/s41421-025-00861-6; 10.1038/s41592-025-02817-w; 10.1186/s13059-023-03145-y	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137986		data/GSE/GSE137986	python3 download_geo.py	
E	GSE	GSE138080	Level 2	8	1	10.1038/s41419-026-08453-2	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138080		data/GSE/GSE138080	python3 download_geo.py	
E	GSE	GSE138522	Level 2	8	1	10.1038/s41586-025-08880-9	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138522		data/GSE/GSE138522	python3 download_geo.py	
